Ea Name,Ea Latitude,Ea Longitude,EA Best 4G QCOV,Name
BCACADADCCCABA,50.840635828,7.086181641,1,Telekom
BCACADADCCCAAB,50.840635828,7.064208984,2,Telefonica
BCACADADCCADCA,50.868378142,7.130126953,1,Telekom
BCACADADCCADAC,50.882243111,7.130126953,1,Telekom
BCACADADCCACDD,50.854509048,7.108154297,3,Vodafone
BCACADADCCACDC,50.854509048,7.086181641,2,Telefonica
BCACADADCCACDB,50.868378142,7.108154297,1,Telekom
BCACADADCCACDA,50.868378142,7.086181641,3,Vodafone
BCACADADCCACCD,50.854509048,7.064208984,2,Telefonica
BCACADADCCACCC,50.854509048,7.042236328,3,Vodafone
BCACADADCCACCB,50.868378142,7.064208984,1,Telekom
BCACADADCCACCA,50.868378142,7.042236328,3,Vodafone
BCACADADCCACBD,50.882243111,7.108154297,1,Telekom
BCACADADCCACBC,50.882243111,7.086181641,1,Telekom
BCACADADCCACBA,50.896103956,7.086181641,1,Telekom
BCACADADCCACAD,50.882243111,7.064208984,1,Telekom
BCACADADCCACAB,50.896103956,7.064208984,1,Telekom
BCACADADCCACAA,50.896103956,7.042236328,3,Vodafone
BCACADADCCAADC,50.909960676,7.086181641,2,Telefonica
BCACADADCCAADA,50.923813272,7.086181641,2,Telefonica
BCACADADCCAACD,50.909960676,7.064208984,1,Telekom
BCACADADCCAACC,50.909960676,7.042236328,1,Telekom
BCACADADCCAACB,50.923813272,7.064208984,1,Telekom
BCACADADCCAACA,50.923813272,7.042236328,1,Telekom
BCACADADCCAABD,50.937661745,7.108154297,1,Telekom
BCACADADCCAABC,50.937661745,7.086181641,1,Telekom
BCACADADCCAABA,50.951506094,7.086181641,2,Telefonica
BCACADADCCAAAD,50.937661745,7.064208984,2,Telefonica
BCACADADCCAAAC,50.937661745,7.042236328,1,Telekom
BCACADADCCAAAB,50.951506094,7.064208984,1,Telekom
BCACADADCCAAAA,50.951506094,7.042236328,1,Telekom
BCACADADCACCDC,50.965346322,7.086181641,1,Telekom
BCACADADCACCDA,50.979182427,7.086181641,3,Vodafone
BCACADADCACCCD,50.965346322,7.064208984,2,Telefonica
BCACADADCACCCC,50.965346322,7.042236328,1,Telekom
BCACADADCACCCB,50.979182427,7.064208984,2,Telefonica
BCACADADCACCCA,50.979182427,7.042236328,2,Telefonica
BCACADADCACCAC,50.993014410,7.042236328,3,Vodafone
BCACADADCACCAA,51.006842272,7.042236328,3,Vodafone
BCACADACDDDBAA,50.840635828,6.954345703,1,Telekom
BCACADACDDDABB,50.840635828,6.932373047,3,Vodafone
BCACADACDDBDDD,50.854509048,7.020263672,2,Telefonica
BCACADACDDBDDC,50.854509048,6.998291016,2,Telefonica
BCACADACDDBDDB,50.868378142,7.020263672,2,Telefonica
BCACADACDDBDDA,50.868378142,6.998291016,3,Vodafone
BCACADACDDBDCD,50.854509048,6.976318359,1,Telekom
BCACADACDDBDCC,50.854509048,6.954345703,1,Telekom
BCACADACDDBDCB,50.868378142,6.976318359,3,Vodafone
BCACADACDDBDCA,50.868378142,6.954345703,2,Telefonica
BCACADACDDBDBD,50.882243111,7.020263672,3,Vodafone
BCACADACDDBDBC,50.882243111,6.998291016,3,Vodafone
BCACADACDDBDBB,50.896103956,7.020263672,3,Vodafone
BCACADACDDBDBA,50.896103956,6.998291016,2,Telefonica
BCACADACDDBDAD,50.882243111,6.976318359,3,Vodafone
BCACADACDDBDAC,50.882243111,6.954345703,1,Telekom
BCACADACDDBDAB,50.896103956,6.976318359,2,Telefonica
BCACADACDDBDAA,50.896103956,6.954345703,1,Telekom
BCACADACDDBCDD,50.854509048,6.932373047,3,Vodafone
BCACADACDDBCDB,50.868378142,6.932373047,3,Vodafone
BCACADACDDBCBD,50.882243111,6.932373047,3,Vodafone
BCACADACDDBCBB,50.896103956,6.932373047,2,Telefonica
BCACADACDDBBDD,50.909960676,7.020263672,1,Telekom
BCACADACDDBBDC,50.909960676,6.998291016,2,Telefonica
BCACADACDDBBDB,50.923813272,7.020263672,3,Vodafone
BCACADACDDBBDA,50.923813272,6.998291016,3,Vodafone
BCACADACDDBBCD,50.909960676,6.976318359,3,Vodafone
BCACADACDDBBCC,50.909960676,6.954345703,3,Vodafone
BCACADACDDBBCB,50.923813272,6.976318359,3,Vodafone
BCACADACDDBBCA,50.923813272,6.954345703,3,Vodafone
BCACADACDDBBBD,50.937661745,7.020263672,1,Telekom
BCACADACDDBBBC,50.937661745,6.998291016,3,Vodafone
BCACADACDDBBBB,50.951506094,7.020263672,1,Telekom
BCACADACDDBBBA,50.951506094,6.998291016,1,Telekom
BCACADACDDBBAD,50.937661745,6.976318359,3,Vodafone
BCACADACDDBBAC,50.937661745,6.954345703,1,Telekom
BCACADACDDBBAB,50.951506094,6.976318359,3,Vodafone
BCACADACDDBBAA,50.951506094,6.954345703,3,Vodafone
BCACADACDDBADD,50.909960676,6.932373047,3,Vodafone
BCACADACDDBADC,50.909960676,6.910400391,3,Vodafone
BCACADACDDBADB,50.923813272,6.932373047,3,Vodafone
BCACADACDDBADA,50.923813272,6.910400391,1,Telekom
BCACADACDDBACD,50.909960676,6.888427734,1,Telekom
BCACADACDDBACC,50.909960676,6.866455078,1,Telekom
BCACADACDDBACB,50.923813272,6.888427734,3,Vodafone
BCACADACDDBACA,50.923813272,6.866455078,3,Vodafone
BCACADACDDBABD,50.937661745,6.932373047,3,Vodafone
BCACADACDDBABC,50.937661745,6.910400391,3,Vodafone
BCACADACDDBABB,50.951506094,6.932373047,3,Vodafone
BCACADACDDBABA,50.951506094,6.910400391,1,Telekom
BCACADACDDBAAD,50.937661745,6.888427734,3,Vodafone
BCACADACDDBAAC,50.937661745,6.866455078,3,Vodafone
BCACADACDDBAAB,50.951506094,6.888427734,2,Telefonica
BCACADACDDBAAA,50.951506094,6.866455078,2,Telefonica
BCACADACDDABDB,50.923813272,6.844482422,3,Vodafone
BCACADACDDABBD,50.937661745,6.844482422,1,Telekom
BCACADACDDABBC,50.937661745,6.822509766,3,Vodafone
BCACADACDDABBB,50.951506094,6.844482422,2,Telefonica
BCACADACDDABBA,50.951506094,6.822509766,3,Vodafone
BCACADACDBDDDD,50.965346322,7.020263672,3,Vodafone
BCACADACDBDDDC,50.965346322,6.998291016,3,Vodafone
BCACADACDBDDDB,50.979182427,7.020263672,1,Telekom
BCACADACDBDDDA,50.979182427,6.998291016,3,Vodafone
BCACADACDBDDCD,50.965346322,6.976318359,1,Telekom
BCACADACDBDDCC,50.965346322,6.954345703,3,Vodafone
BCACADACDBDDCB,50.979182427,6.976318359,2,Telefonica
BCACADACDBDDCA,50.979182427,6.954345703,2,Telefonica
BCACADACDBDDBD,50.993014410,7.020263672,1,Telekom
BCACADACDBDDBC,50.993014410,6.998291016,1,Telekom
BCACADACDBDDBB,51.006842272,7.020263672,1,Telekom
BCACADACDBDDBA,51.006842272,6.998291016,1,Telekom
BCACADACDBDDAD,50.993014410,6.976318359,3,Vodafone
BCACADACDBDDAC,50.993014410,6.954345703,2,Telefonica
BCACADACDBDDAB,51.006842272,6.976318359,1,Telekom
BCACADACDBDDAA,51.006842272,6.954345703,3,Vodafone
BCACADACDBDCDD,50.965346322,6.932373047,1,Telekom
BCACADACDBDCDC,50.965346322,6.910400391,3,Vodafone
BCACADACDBDCDB,50.979182427,6.932373047,3,Vodafone
BCACADACDBDCDA,50.979182427,6.910400391,3,Vodafone
BCACADACDBDCCD,50.965346322,6.888427734,2,Telefonica
BCACADACDBDCCC,50.965346322,6.866455078,2,Telefonica
BCACADACDBDCCB,50.979182427,6.888427734,1,Telekom
BCACADACDBDCCA,50.979182427,6.866455078,3,Vodafone
BCACADACDBDCBD,50.993014410,6.932373047,1,Telekom
BCACADACDBDCBC,50.993014410,6.910400391,3,Vodafone
BCACADACDBDCBB,51.006842272,6.932373047,3,Vodafone
BCACADACDBDCBA,51.006842272,6.910400391,2,Telefonica
BCACADACDBDCAD,50.993014410,6.888427734,2,Telefonica
BCACADACDBDCAC,50.993014410,6.866455078,1,Telekom
BCACADACDBDCAB,51.006842272,6.888427734,1,Telekom
BCACADACDBDCAA,51.006842272,6.866455078,3,Vodafone
BCACADACDBDBCC,51.020666013,6.954345703,3,Vodafone
BCACADACDBDBCA,51.034485633,6.954345703,3,Vodafone
BCACADACDBDADD,51.020666013,6.932373047,3,Vodafone
BCACADACDBDADC,51.020666013,6.910400391,1,Telekom
BCACADACDBDADB,51.034485633,6.932373047,1,Telekom
BCACADACDBDADA,51.034485633,6.910400391,3,Vodafone
BCACADACDBDACD,51.020666013,6.888427734,1,Telekom
BCACADACDBDACC,51.020666013,6.866455078,1,Telekom
BCACADACDBDACB,51.034485633,6.888427734,1,Telekom
BCACADACDBDABC,51.048301133,6.910400391,1,Telekom
BCACADACDBCDDD,50.965346322,6.844482422,2,Telefonica
BCACADACDBCDDC,50.965346322,6.822509766,3,Vodafone
BCACADACDBCDDB,50.979182427,6.844482422,2,Telefonica
